================================================================================
P: A football player tackles an member of the opposing team .
H: People playing football .
label=1, predicted=1, correct
f=unigram_at, v=1, w=-0.0217453823726876, v*w=-0.0217453823726876
f=bigram_to_get, v=1, w=-0.03114688465479137, v*w=-0.03114688465479137
f=bigram_the_fountain, v=1, w=-0.038312684814349664, v*w=-0.038312684814349664
f=bigram_fountain_at, v=1, w=-0.04375822953119036, v*w=-0.04375822953119036
f=unigram_in, v=1, w=-0.08602513351516965, v*w=-0.08602513351516965
f=unigram_threw, v=1, w=-0.09260372967509271, v*w=-0.09260372967509271
f=unigram_get, v=1, w=-0.1215496716959088, v*w=-0.1215496716959088
f=bigram_mall_., v=1, w=-0.14794312225785025, v*w=-0.14794312225785025
f=unigram_mall, v=1, w=-0.14924329474836193, v*w=-0.14924329474836193
f=unigram_young, v=1, w=-0.1912491267544971, v*w=-0.1912491267544971
f=unigram_money, v=1, w=-0.24196447239650937, v*w=-0.24196447239650937
f=unigram_into, v=2, w=-0.14565777871916058, v*w=-0.29131555743832116
f=bigram_young_girls, v=1, w=-0.35714132490733813, v*w=-0.35714132490733813
f=unigram_the, v=2, w=-0.22461032956469507, v*w=-0.44922065912939013
f=unigram_to, v=1, w=-0.48944732742029523, v*w=-0.48944732742029523
f=unigram_they, v=1, w=-0.7836806369122217, v*w=-0.7836806369122217
================================================================================
P: 3 people walking through a small field .
H: Three people in a medow of flowers .
label=0, predicted=1, wrong
f=unigram_people, v=2, w=0.28882961393253187, v*w=0.5776592278650637
f=unigram_., v=2, w=0.15389083143632556, v*w=0.30778166287265113
f=unigram_three, v=1, w=0.13693708289933057, v*w=0.13693708289933057
f=bigram_3_people, v=1, w=0.10709278354152872, v*w=0.10709278354152872
f=bigram_a_small, v=1, w=0.08070659131393214, v*w=0.08070659131393214
f=unigram_3, v=1, w=0.07205388568270477, v*w=0.07205388568270477
f=bigram_in_a, v=1, w=0.05844301263471668, v*w=0.05844301263471668
f=bigram_flowers_., v=1, w=0.055236532120649245, v*w=0.055236532120649245
f=bigram_small_field, v=1, w=0.013436244568574326, v*w=0.013436244568574326
f=unigram_medow, v=1, w=0, v*w=0
f=bigram_medow_of, v=1, w=0, v*w=0
f=bigram_a_medow, v=1, w=0, v*w=0
f=negation_s1, v=0, w=0.22485757777299273, v*w=0.0
f=negation_s2, v=0, w=-0.10855617187754155, v*w=-0.0
f=unigram_a, v=2, w=-0.0024239052585922536, v*w=-0.004847810517184507
f=bigram_through_a, v=1, w=-0.005117647800944812, v*w=-0.005117647800944812
f=bigram_field_., v=1, w=-0.018236374367485004, v*w=-0.018236374367485004
f=bigram_walking_through, v=1, w=-0.038564770495016644, v*w=-0.038564770495016644
f=bigram_three_people, v=1, w=-0.04439355945448083, v*w=-0.04439355945448083
f=unigram_walking, v=1, w=-0.048020427955048656, v*w=-0.048020427955048656
f=bigram_people_in, v=1, w=-0.05082543647172488, v*w=-0.05082543647172488
f=unigram_of, v=1, w=-0.05210813364358563, v*w=-0.05210813364358563
f=unigram_through, v=1, w=-0.05419591641098961, v*w=-0.05419591641098961
f=unigram_flowers, v=1, w=-0.07165621651234211, v*w=-0.07165621651234211
f=unigram_in, v=1, w=-0.08602513351516965, v*w=-0.08602513351516965
f=bigram_of_flowers, v=1, w=-0.09658436234193446, v*w=-0.09658436234193446
f=unigram_field, v=1, w=-0.09960848434711664, v*w=-0.09960848434711664
f=unigram_small, v=1, w=-0.13573378107693718, v*w=-0.13573378107693718
f=bigram_people_walking, v=1, w=-0.2705000375638667, v*w=-0.2705000375638667
================================================================================
P: Dozens of street performers in fuchsia , red , yellow and black outfits are dancing and singing along a city street .
H: Many performers in colorful costumes were entertaining in the streets .
label=1, predicted=0, wrong
f=unigram_colorful, v=1, w=0.336575355914547, v*w=0.336575355914547
f=unigram_., v=2, w=0.15389083143632556, v*w=0.30778166287265113
f=unigram_outfits, v=1, w=0.2674352693927986, v*w=0.2674352693927986
f=bigram_yellow_and, v=1, w=0.2250430068854973, v*w=0.2250430068854973
f=unigram_black, v=1, w=0.18273958814369576, v*w=0.18273958814369576
f=bigram_and_black, v=1, w=0.11792239007503577, v*w=0.11792239007503577
f=bigram_city_street, v=1, w=0.10390565754768785, v*w=0.10390565754768785
f=bigram_,_yellow, v=1, w=0.10109881097826233, v*w=0.10109881097826233
f=unigram_yellow, v=1, w=0.09997060169943839, v*w=0.09997060169943839
f=bigram_are_dancing, v=1, w=0.09620122826646961, v*w=0.09620122826646961
f=bigram_in_colorful, v=1, w=0.08180460809083265, v*w=0.08180460809083265
f=unigram_street, v=2, w=0.03498371651720185, v*w=0.0699674330344037
f=bigram_and_singing, v=1, w=0.06810923558229591, v*w=0.06810923558229591
f=bigram_colorful_costumes, v=1, w=0.05284135794182794, v*w=0.05284135794182794
f=bigram_dancing_and, v=1, w=0.052115685646526244, v*w=0.052115685646526244
f=bigram_a_city, v=1, w=0.05162676070190087, v*w=0.05162676070190087
f=bigram_street_., v=1, w=0.049692966448765544, v*w=0.049692966448765544
f=bigram_singing_along, v=1, w=0.009913625351743689, v*w=0.009913625351743689
f=unigram_fuchsia, v=1, w=0, v*w=0
f=bigram_many_performers, v=1, w=0, v*w=0
f=bigram_in_fuchsia, v=1, w=0, v*w=0
f=bigram_were_entertaining, v=1, w=0, v*w=0
f=bigram_performers_in, v=2, w=0, v*w=0
f=bigram_fuchsia_,, v=1, w=0, v*w=0
f=bigram_costumes_were, v=1, w=0, v*w=0
f=bigram_black_outfits, v=1, w=0, v*w=0
f=bigram_entertaining_in, v=1, w=0, v*w=0
f=negation_s1, v=0, w=0.22485757777299273, v*w=0.0
f=negation_s2, v=0, w=-0.10855617187754155, v*w=-0.0
f=unigram_a, v=1, w=-0.0024239052585922536, v*w=-0.0024239052585922536
f=bigram_outfits_are, v=1, w=-0.0033032863024681615, v*w=-0.0033032863024681615
f=bigram_the_streets, v=1, w=-0.008256763481206648, v*w=-0.008256763481206648
f=unigram_singing, v=1, w=-0.012994650730751746, v*w=-0.012994650730751746
f=unigram_costumes, v=1, w=-0.018135412387056283, v*w=-0.018135412387056283
f=unigram_along, v=1, w=-0.03008519888625387, v*w=-0.03008519888625387
f=bigram_streets_., v=1, w=-0.030410030314089027, v*w=-0.030410030314089027
f=unigram_streets, v=1, w=-0.03497934497613792, v*w=-0.03497934497613792
f=unigram_dozens, v=1, w=-0.037068484165879885, v*w=-0.037068484165879885
f=bigram_dozens_of, v=1, w=-0.037068484165879885, v*w=-0.037068484165879885
f=unigram_red, v=1, w=-0.0409333055494941, v*w=-0.0409333055494941
f=unigram_entertaining, v=1, w=-0.04170832663156442, v*w=-0.04170832663156442
f=unigram_,, v=2, w=-0.0210107357906898, v*w=-0.0420214715813796
f=bigram_of_street, v=1, w=-0.043942995171987895, v*w=-0.043942995171987895
f=bigram_,_red, v=1, w=-0.05169990159699226, v*w=-0.05169990159699226
f=unigram_of, v=1, w=-0.05210813364358563, v*w=-0.05210813364358563
f=unigram_dancing, v=1, w=-0.0521090803059933, v*w=-0.0521090803059933
f=bigram_along_a, v=1, w=-0.053100859982314404, v*w=-0.053100859982314404
f=bigram_in_the, v=1, w=-0.07759903285762955, v*w=-0.07759903285762955
f=unigram_many, v=1, w=-0.0833774772871375, v*w=-0.0833774772871375
f=bigram_street_performers, v=1, w=-0.11045962555272645, v*w=-0.11045962555272645
f=bigram_red_,, v=1, w=-0.12279205485607828, v*w=-0.12279205485607828
f=unigram_performers, v=2, w=-0.06757921502479501, v*w=-0.13515843004959002
f=unigram_and, v=2, w=-0.0751160091009072, v*w=-0.1502320182018144
f=unigram_were, v=1, w=-0.21283022025362988, v*w=-0.21283022025362988
f=unigram_the, v=1, w=-0.22461032956469507, v*w=-0.22461032956469507
f=unigram_city, v=1, w=-0.22799533180677287, v*w=-0.22799533180677287
f=unigram_in, v=3, w=-0.08602513351516965, v*w=-0.2580754005455089
f=unigram_are, v=1, w=-0.30915512766677145, v*w=-0.30915512766677145
================================================================================
P: A bride wearing her bridal gown is taking pictures with her colorful wedding bouquet in front of cows .
H: A bride is taking pictures at a barn .
label=1, predicted=1, correct
f=bigram_is_taking, v=2, w=0.1781831760910273, v*w=0.3563663521820546
f=unigram_colorful, v=1, w=0.336575355914547, v*w=0.336575355914547
f=unigram_., v=2, w=0.15389083143632556, v*w=0.30778166287265113
f=unigram_bride, v=2, w=0.1436684155830824, v*w=0.2873368311661648
f=unigram_wedding, v=1, w=0.281524745981185, v*w=0.281524745981185
f=bigram_front_of, v=1, w=0.1703695835980046, v*w=0.1703695835980046
f=bigram_taking_pictures, v=2, w=0.07271394695528041, v*w=0.14542789391056082
f=bigram_in_front, v=1, w=0.14264428437832066, v*w=0.14264428437832066
f=unigram_bouquet, v=1, w=0.12427762838293584, v*w=0.12427762838293584
f=bigram_cows_., v=1, w=0.11433073137181624, v*w=0.11433073137181624
f=unigram_cows, v=1, w=0.04835250833188946, v*w=0.04835250833188946
f=bigram_pictures_at, v=1, w=0.039750125417313105, v*w=0.039750125417313105
f=unigram_bridal, v=1, w=0.034948135076187326, v*w=0.034948135076187326
f=bigram_with_her, v=1, w=0.015758392482009043, v*w=0.015758392482009043
f=bigram_bride_is, v=1, w=0.0068711160548379, v*w=0.0068711160548379
f=bigram_gown_is, v=1, w=0, v*w=0
f=bigram_wedding_bouquet, v=1, w=0, v*w=0
f=bigram_her_colorful, v=1, w=0, v*w=0
f=bigram_her_bridal, v=1, w=0, v*w=0
f=bigram_colorful_wedding, v=1, w=0, v*w=0
f=bigram_bride_wearing, v=1, w=0, v*w=0
f=bigram_bridal_gown, v=1, w=0, v*w=0
f=bigram_of_cows, v=1, w=0, v*w=0
f=bigram_bouquet_in, v=1, w=0, v*w=0
f=negation_s1, v=0, w=0.22485757777299273, v*w=0.0
f=negation_s2, v=0, w=-0.10855617187754155, v*w=-0.0
f=bigram_a_barn, v=1, w=-0.0001660840509836825, v*w=-0.0001660840509836825
f=unigram_a, v=1, w=-0.0024239052585922536, v*w=-0.0024239052585922536
f=bigram_barn_., v=1, w=-0.005285183080025398, v*w=-0.005285183080025398
f=unigram_with, v=1, w=-0.017849579505314447, v*w=-0.017849579505314447
f=bigram_a_bride, v=2, w=-0.01049563846558151, v*w=-0.02099127693116302
f=unigram_at, v=1, w=-0.0217453823726876, v*w=-0.0217453823726876
f=unigram_barn, v=1, w=-0.032222584845134676, v*w=-0.032222584845134676
f=unigram_wearing, v=1, w=-0.05100125722308318, v*w=-0.05100125722308318
f=unigram_gown, v=1, w=-0.05145874284679041, v*w=-0.05145874284679041
f=unigram_of, v=1, w=-0.05210813364358563, v*w=-0.05210813364358563
f=unigram_in, v=1, w=-0.08602513351516965, v*w=-0.08602513351516965
f=bigram_wearing_her, v=1, w=-0.08881121757465579, v*w=-0.08881121757465579
f=bigram_pictures_with, v=1, w=-0.09825978136206585, v*w=-0.09825978136206585
f=bigram_at_a, v=1, w=-0.15317639340581699, v*w=-0.15317639340581699
f=unigram_front, v=1, w=-0.15463392971701118, v*w=-0.15463392971701118
f=unigram_is, v=2, w=-0.1087656479607868, v*w=-0.2175312959215736
f=unigram_taking, v=2, w=-0.15867099823712447, v*w=-0.31734199647424893
f=unigram_her, v=2, w=-0.21546840459580557, v*w=-0.43093680919161115
f=unigram_pictures, v=2, w=-0.24077639147969104, v*w=-0.4815527829593821
================================================================================
P: A man with a cowboy hat green plaid shirt , jeans , and red boots and chaps rides a bay horse next to a young boy with a cowboy hat and blue shirt , jeans and chaps rides a pony next to him .
H: People are riding horses and ponies outside .
label=1, predicted=1, correct
f=bigram_outside_., v=1, w=0.5540998568355167, v*w=0.5540998568355167
f=bigram_next_to, v=2, w=0.27176871974387284, v*w=0.5435374394877457
f=unigram_., v=2, w=0.15389083143632556, v*w=0.30778166287265113
f=unigram_people, v=1, w=0.28882961393253187, v*w=0.28882961393253187
f=unigram_boots, v=1, w=0.27154695496457043, v*w=0.27154695496457043
f=bigram_blue_shirt, v=1, w=0.24637609405371694, v*w=0.24637609405371694
f=bigram_jeans_,, v=1, w=0.2404226607259841, v*w=0.2404226607259841
f=unigram_cowboy, v=2, w=0.11647975542499116, v*w=0.23295951084998232
f=unigram_next, v=2, w=0.11387993184802085, v*w=0.2277598636960417
f=unigram_horse, v=1, w=0.22459339646906312, v*w=0.22459339646906312
f=bigram_riding_horses, v=1, w=0.20651751869983317, v*w=0.20651751869983317
f=unigram_outside, v=1, w=0.19064031592173877, v*w=0.19064031592173877
f=bigram_and_red, v=1, w=0.18278049564009427, v*w=0.18278049564009427
f=bigram_young_boy, v=1, w=0.17297352335732588, v*w=0.17297352335732588
f=bigram_a_man, v=1, w=0.16304572728321168, v*w=0.16304572728321168
f=bigram_man_with, v=1, w=0.1609348185693526, v*w=0.1609348185693526
f=bigram_,_jeans, v=2, w=0.07687433580265533, v*w=0.15374867160531067
f=bigram_are_riding, v=1, w=0.15318292080794713, v*w=0.15318292080794713
f=bigram_a_young, v=1, w=0.12036793126281801, v*w=0.12036793126281801
f=bigram_,_and, v=1, w=0.11876708611131494, v*w=0.11876708611131494
f=unigram_boy, v=1, w=0.11284227381692724, v*w=0.11284227381692724
f=unigram_chaps, v=2, w=0.04940945074763408, v*w=0.09881890149526816
f=unigram_man, v=1, w=0.09125296665009319, v*w=0.09125296665009319
f=bigram_cowboy_hat, v=2, w=0.04514375758458123, v*w=0.09028751516916246
f=bigram_horses_and, v=1, w=0.07958323897841507, v*w=0.07958323897841507
f=unigram_jeans, v=2, w=0.038605224050685914, v*w=0.07721044810137183
f=bigram_with_a, v=2, w=0.03303898737095512, v*w=0.06607797474191024
f=bigram_red_boots, v=1, w=0.06425696972394258, v*w=0.06425696972394258
f=unigram_him, v=1, w=0.04504630314384048, v*w=0.04504630314384048
f=bigram_chaps_rides, v=2, w=0.02137422552891762, v*w=0.04274845105783524
f=bigram_and_chaps, v=2, w=0.02137422552891762, v*w=0.04274845105783524
f=unigram_blue, v=1, w=0.04244902163888029, v*w=0.04244902163888029
f=bigram_a_bay, v=1, w=0.04001584398181393, v*w=0.04001584398181393
f=unigram_bay, v=1, w=0.035371163813174594, v*w=0.035371163813174594
f=bigram_to_him, v=1, w=0.03504923148320016, v*w=0.03504923148320016
f=unigram_ponies, v=1, w=0.030747589444958954, v*w=0.030747589444958954
f=unigram_rides, v=2, w=0.014986111499971061, v*w=0.029972222999942122
f=bigram_boots_and, v=1, w=0.02761901522378166, v*w=0.02761901522378166
f=unigram_plaid, v=1, w=0.02391336611820748, v*w=0.02391336611820748
f=bigram_people_are, v=1, w=0.008624136862461192, v*w=0.008624136862461192
f=unigram_pony, v=1, w=0.005976471404007531, v*w=0.005976471404007531
f=unigram_riding, v=1, w=0.004006962054494547, v*w=0.004006962054494547
f=bigram_to_a, v=1, w=0.0015750532160762939, v*w=0.0015750532160762939
f=bigram_ponies_outside, v=1, w=0, v*w=0
f=bigram_horse_next, v=1, w=0, v*w=0
f=bigram_bay_horse, v=1, w=0, v*w=0
f=bigram_and_ponies, v=1, w=0, v*w=0
f=bigram_green_plaid, v=1, w=0, v*w=0
f=bigram_pony_next, v=1, w=0, v*w=0
f=bigram_a_pony, v=1, w=0, v*w=0
f=bigram_hat_green, v=1, w=0, v*w=0
f=negation_s1, v=0, w=0.22485757777299273, v*w=0.0
f=negation_s2, v=0, w=-0.10855617187754155, v*w=-0.0
f=bigram_and_blue, v=1, w=-0.004282279600352618, v*w=-0.004282279600352618
f=bigram_him_., v=1, w=-0.010666575750902647, v*w=-0.010666575750902647
f=unigram_a, v=5, w=-0.0024239052585922536, v*w=-0.012119526292961268
f=unigram_shirt, v=2, w=-0.010733142774790528, v*w=-0.021466285549581056
f=unigram_with, v=2, w=-0.017849579505314447, v*w=-0.035699159010628895
f=bigram_a_cowboy, v=2, w=-0.01954634401109162, v*w=-0.03909268802218324
f=unigram_red, v=1, w=-0.0409333055494941, v*w=-0.0409333055494941
f=bigram_plaid_shirt, v=1, w=-0.04896862824367454, v*w=-0.04896862824367454
f=unigram_horses, v=1, w=-0.052108463618886325, v*w=-0.052108463618886325
f=unigram_,, v=3, w=-0.0210107357906898, v*w=-0.06303220737206941
f=unigram_hat, v=2, w=-0.04188962162420452, v*w=-0.08377924324840905
f=bigram_jeans_and, v=1, w=-0.09796832778951398, v*w=-0.09796832778951398
f=unigram_green, v=1, w=-0.12262560161309559, v*w=-0.12262560161309559
f=bigram_hat_and, v=1, w=-0.13807017217805734, v*w=-0.13807017217805734
f=bigram_shirt_,, v=2, w=-0.0908368746991621, v*w=-0.1816737493983242
f=unigram_young, v=1, w=-0.1912491267544971, v*w=-0.1912491267544971
f=bigram_boy_with, v=1, w=-0.21105840963243264, v*w=-0.21105840963243264
f=unigram_are, v=1, w=-0.30915512766677145, v*w=-0.30915512766677145
f=unigram_and, v=5, w=-0.0751160091009072, v*w=-0.375580045504536
f=bigram_rides_a, v=2, w=-0.28439953762565195, v*w=-0.5687990752513039
f=unigram_to, v=2, w=-0.48944732742029523, v*w=-0.9788946548405905
================================================================================
P: A hiker pokes his head out of a tent high in the mountains .
H: The hiker heard a noise .
label=0, predicted=0, correct
f=unigram_., v=2, w=0.15389083143632556, v*w=0.30778166287265113
f=unigram_head, v=1, w=0.18120535727461176, v*w=0.18120535727461176
f=unigram_pokes, v=1, w=0.10926785544485226, v*w=0.10926785544485226
f=bigram_mountains_., v=1, w=0.09439053595192343, v*w=0.09439053595192343
f=unigram_noise, v=1, w=0.08836039582038725, v*w=0.08836039582038725
f=bigram_head_out, v=1, w=0.08411875981808875, v*w=0.08411875981808875
f=bigram_his_head, v=1, w=0.08105043785672944, v*w=0.08105043785672944
f=bigram_pokes_his, v=1, w=0.07972636702117948, v*w=0.07972636702117948
f=bigram_a_noise, v=1, w=0.041852511409659426, v*w=0.041852511409659426
f=bigram_noise_., v=1, w=0.041852511409659426, v*w=0.041852511409659426
f=bigram_high_in, v=1, w=0.02243691809746632, v*w=0.02243691809746632
f=bigram_of_a, v=1, w=0.0193813254754124, v*w=0.0193813254754124
f=bigram_hiker_pokes, v=1, w=0, v*w=0
f=bigram_the_hiker, v=1, w=0, v*w=0
f=bigram_tent_high, v=1, w=0, v*w=0
f=bigram_hiker_heard, v=1, w=0, v*w=0
f=negation_s1, v=0, w=0.22485757777299273, v*w=0.0
f=negation_s2, v=0, w=-0.10855617187754155, v*w=-0.0
f=unigram_a, v=1, w=-0.0024239052585922536, v*w=-0.0024239052585922536
f=unigram_mountains, v=1, w=-0.02601640738196397, v*w=-0.02601640738196397
f=bigram_heard_a, v=1, w=-0.028896994742294305, v*w=-0.028896994742294305
f=unigram_tent, v=1, w=-0.03440827585225266, v*w=-0.03440827585225266
f=unigram_heard, v=1, w=-0.04807313045511253, v*w=-0.04807313045511253
f=unigram_of, v=1, w=-0.05210813364358563, v*w=-0.05210813364358563
f=bigram_in_the, v=1, w=-0.07759903285762955, v*w=-0.07759903285762955
f=bigram_a_tent, v=1, w=-0.08491756548234061, v*w=-0.08491756548234061
f=unigram_in, v=1, w=-0.08602513351516965, v*w=-0.08602513351516965
f=unigram_out, v=1, w=-0.0941798644579856, v*w=-0.0941798644579856
f=bigram_a_hiker, v=1, w=-0.13115962958195632, v*w=-0.13115962958195632
f=bigram_the_mountains, v=1, w=-0.1971918994270655, v*w=-0.1971918994270655
f=unigram_the, v=1, w=-0.22461032956469507, v*w=-0.22461032956469507
f=bigram_out_of, v=1, w=-0.23190839304378055, v*w=-0.23190839304378055
f=unigram_high, v=1, w=-0.3169368616057624, v*w=-0.3169368616057624
f=unigram_hiker, v=2, w=-0.16822202368893474, v*w=-0.3364440473778695
f=unigram_his, v=1, w=-0.37413418362669487, v*w=-0.37413418362669487
================================================================================
P: Children participating at a party while looking at the one kid in exuberance over the new toy .
H: Children are at a party
label=1, predicted=0, wrong
f=bigram_over_the, v=1, w=0.2144032450373823, v*w=0.2144032450373823
f=unigram_children, v=2, w=0.10023242423319832, v*w=0.20046484846639664
f=bigram_toy_., v=1, w=0.18185290452535458, v*w=0.18185290452535458
f=unigram_., v=1, w=0.15389083143632556, v*w=0.15389083143632556
f=bigram_while_looking, v=1, w=0.12421080203772314, v*w=0.12421080203772314
f=bigram_looking_at, v=1, w=0.10003383282320981, v*w=0.10003383282320981
f=bigram_children_are, v=1, w=0.09110225809899204, v*w=0.09110225809899204
f=unigram_participating, v=1, w=0.09105917116002576, v*w=0.09105917116002576
f=bigram_are_at, v=1, w=0.07594653707139715, v*w=0.07594653707139715
f=unigram_looking, v=1, w=0.07423665082612417, v*w=0.07423665082612417
f=unigram_one, v=1, w=0.043556720669348556, v*w=0.043556720669348556
f=bigram_one_kid, v=1, w=0.035135503234657334, v*w=0.035135503234657334
f=bigram_at_the, v=1, w=0.02005791905082068, v*w=0.02005791905082068
f=unigram_while, v=1, w=0.006772260201241698, v*w=0.006772260201241698
f=bigram_a_party, v=2, w=0.0006287687331827669, v*w=0.0012575374663655338
f=bigram_exuberance_over, v=1, w=0, v*w=0
f=bigram_children_participating, v=1, w=0, v*w=0
f=bigram_in_exuberance, v=1, w=0, v*w=0
f=bigram_participating_at, v=1, w=0, v*w=0
f=negation_s1, v=0, w=0.22485757777299273, v*w=0.0
f=negation_s2, v=0, w=-0.10855617187754155, v*w=-0.0
f=unigram_a, v=2, w=-0.0024239052585922536, v*w=-0.004847810517184507
f=bigram_new_toy, v=1, w=-0.0065989127414499, v*w=-0.0065989127414499
f=bigram_kid_in, v=1, w=-0.007967091549961686, v*w=-0.007967091549961686
f=unigram_exuberance, v=1, w=-0.008991678353224576, v*w=-0.008991678353224576
f=unigram_toy, v=1, w=-0.02384673448321415, v*w=-0.02384673448321415
f=bigram_party_while, v=1, w=-0.042696151928621986, v*w=-0.042696151928621986
f=unigram_at, v=3, w=-0.0217453823726876, v*w=-0.0652361471180628
f=unigram_in, v=1, w=-0.08602513351516965, v*w=-0.08602513351516965
f=unigram_kid, v=1, w=-0.0952358387979047, v*w=-0.0952358387979047
f=bigram_the_new, v=1, w=-0.10963509448951687, v*w=-0.10963509448951687
f=bigram_the_one, v=1, w=-0.11683827301551881, v*w=-0.11683827301551881
f=unigram_over, v=1, w=-0.21929055382537374, v*w=-0.21929055382537374
f=bigram_at_a, v=2, w=-0.15317639340581699, v*w=-0.30635278681163397
f=unigram_are, v=1, w=-0.30915512766677145, v*w=-0.30915512766677145
f=unigram_the, v=2, w=-0.22461032956469507, v*w=-0.44922065912939013
f=unigram_new, v=1, w=-0.4801246925683278, v*w=-0.4801246925683278
f=unigram_party, v=2, w=-0.3470869627288594, v*w=-0.6941739254577188
================================================================================
P: two women in lab coats looking on a image projected on the wall
H: Scientists are interpreting experimental findings .
label=0, predicted=1, wrong
f=bigram_women_in, v=1, w=0.4394845533694556, v*w=0.4394845533694556
f=unigram_., v=1, w=0.15389083143632556, v*w=0.15389083143632556
f=unigram_coats, v=1, w=0.12585802788672576, v*w=0.12585802788672576
f=bigram_on_the, v=1, w=0.12474800655387817, v*w=0.12474800655387817
f=unigram_two, v=1, w=0.12260180446350935, v*w=0.12260180446350935
f=unigram_women, v=1, w=0.08677163771511837, v*w=0.08677163771511837
f=bigram_the_wall, v=1, w=0.07900046353716704, v*w=0.07900046353716704
f=unigram_looking, v=1, w=0.07423665082612417, v*w=0.07423665082612417
f=bigram_projected_on, v=1, w=0.04670584896242061, v*w=0.04670584896242061
f=bigram_lab_coats, v=1, w=0.039361523720001686, v*w=0.039361523720001686
f=unigram_projected, v=1, w=0.010171629462096442, v*w=0.010171629462096442
f=unigram_findings, v=1, w=0, v*w=0
f=unigram_interpreting, v=1, w=0, v*w=0
f=bigram_experimental_findings, v=1, w=0, v*w=0
f=bigram_in_lab, v=1, w=0, v*w=0
f=bigram_are_interpreting, v=1, w=0, v*w=0
f=bigram_findings_., v=1, w=0, v*w=0
f=bigram_a_image, v=1, w=0, v*w=0
f=bigram_interpreting_experimental, v=1, w=0, v*w=0
f=bigram_coats_looking, v=1, w=0, v*w=0
f=bigram_image_projected, v=1, w=0, v*w=0
f=negation_s1, v=0, w=0.22485757777299273, v*w=0.0
f=negation_s2, v=0, w=-0.10855617187754155, v*w=-0.0
f=bigram_on_a, v=1, w=-3.6941557408380274e-06, v*w=-3.6941557408380274e-06
f=unigram_a, v=1, w=-0.0024239052585922536, v*w=-0.0024239052585922536
f=unigram_on, v=2, w=-0.0029334140976355447, v*w=-0.005866828195271089
f=bigram_scientists_are, v=1, w=-0.029507643463474294, v*w=-0.029507643463474294
f=unigram_experimental, v=1, w=-0.04556389417846953, v*w=-0.04556389417846953
f=bigram_looking_on, v=1, w=-0.06114655456612999, v*w=-0.06114655456612999
f=unigram_wall, v=1, w=-0.06906721206551858, v*w=-0.06906721206551858
f=unigram_in, v=1, w=-0.08602513351516965, v*w=-0.08602513351516965
f=unigram_image, v=1, w=-0.08681700484059056, v*w=-0.08681700484059056
f=bigram_two_women, v=1, w=-0.09826455429363597, v*w=-0.09826455429363597
f=unigram_scientists, v=1, w=-0.1004424629781067, v*w=-0.1004424629781067
f=unigram_lab, v=1, w=-0.1335370632079241, v*w=-0.1335370632079241
f=unigram_the, v=1, w=-0.22461032956469507, v*w=-0.22461032956469507
f=unigram_are, v=1, w=-0.30915512766677145, v*w=-0.30915512766677145
================================================================================
P: A gathering of young African males under a thatched roof .
H: A group of men are under a roof .
label=1, predicted=0, wrong
f=unigram_., v=2, w=0.15389083143632556, v*w=0.30778166287265113
f=unigram_group, v=1, w=0.16301494349359533, v*w=0.16301494349359533
f=bigram_men_are, v=1, w=0.1378193633375358, v*w=0.1378193633375358
f=bigram_a_group, v=1, w=0.11136202503331728, v*w=0.11136202503331728
f=bigram_a_gathering, v=1, w=0.11125747632705986, v*w=0.11125747632705986
f=unigram_gathering, v=1, w=0.1000358170319696, v*w=0.1000358170319696
f=bigram_are_under, v=1, w=0.09111251235737729, v*w=0.09111251235737729
f=bigram_under_a, v=2, w=0.04088567309125487, v*w=0.08177134618250974
f=unigram_roof, v=2, w=0.016896268295064402, v*w=0.033792536590128805
f=unigram_thatched, v=1, w=0.03156299240046022, v*w=0.03156299240046022
f=bigram_young_african, v=1, w=0, v*w=0
f=bigram_a_thatched, v=1, w=0, v*w=0
f=bigram_african_males, v=1, w=0, v*w=0
f=bigram_males_under, v=1, w=0, v*w=0
f=bigram_thatched_roof, v=1, w=0, v*w=0
f=negation_s1, v=0, w=0.22485757777299273, v*w=0.0
f=negation_s2, v=0, w=-0.10855617187754155, v*w=-0.0
f=unigram_a, v=2, w=-0.0024239052585922536, v*w=-0.004847810517184507
f=bigram_roof_., v=2, w=-0.004438304427584291, v*w=-0.008876608855168581
f=unigram_under, v=2, w=-0.00862327490522616, v*w=-0.01724654981045232
f=unigram_males, v=1, w=-0.026528629899627353, v*w=-0.026528629899627353
f=unigram_men, v=1, w=-0.028411978133876824, v*w=-0.028411978133876824
f=bigram_a_roof, v=1, w=-0.02862944428697997, v*w=-0.02862944428697997
f=bigram_gathering_of, v=1, w=-0.046930290261441535, v*w=-0.046930290261441535
f=bigram_of_young, v=1, w=-0.06585907407246575, v*w=-0.06585907407246575
f=unigram_african, v=1, w=-0.08685307932658864, v*w=-0.08685307932658864
f=unigram_of, v=2, w=-0.05210813364358563, v*w=-0.10421626728717126
f=bigram_of_men, v=1, w=-0.10601162564332715, v*w=-0.10601162564332715
f=unigram_young, v=1, w=-0.1912491267544971, v*w=-0.1912491267544971
f=bigram_group_of, v=1, w=-0.2512900503993891, v*w=-0.2512900503993891
f=unigram_are, v=1, w=-0.30915512766677145, v*w=-0.30915512766677145
================================================================================
P: A young boy swinging on a swing .
H: A boy swings outside .
label=1, predicted=1, correct
f=bigram_outside_., v=1, w=0.5540998568355167, v*w=0.5540998568355167
f=unigram_., v=2, w=0.15389083143632556, v*w=0.30778166287265113
